15931000-3;Μη αρωματισμένα κρασιά;
15931100-4;Αφρώδης οίνος;
15931200-5;Επιτραπέζιο κρασί;
15931300-6;Πορτό;
15931400-7;Μαδέρα;
15931500-8;Μούστος;
15931600-9;Σέρρυ;
15932000-0;Οινολάσπη;
15940000-9;Μηλίτης οίνος και άλλα κρασιά από φρούτα;
15941000-6;Μηλίτης οίνος;
15942000-3;Κρασιά από φρούτα;
15950000-2;Μη αποσταγμένα ποτά που προέρχονται από ζύμωση;
15951000-9;Βερμούτ;
15960000-5;Μπίρα από βύνη;
15961000-2;Μπίρα;
15961100-3;Μπίρα τύπου λάγκερ;
15962000-9;Κατάλοιπα ζυθοποιίας ή απόσταξης;
15980000-1;Μη αλκοολούχα ποτά;
15981000-8;Μεταλλικό νερό;
15981100-9;Μη αεριούχο μεταλλικό νερό;
15981200-0;Αεριούχο μεταλλικό νερό;
15981300-1;Νερό σε στερεά μορφή;
15981310-4;Πάγος;
15981320-7;Χιόνι;
15981400-2;Αρωματικά μεταλλικά νερά;
15982000-5;Αναψυκτικά;
15982100-6;Φρουτοχυμοί;
15982200-7;Σοκολατούχο γάλα;
15990000-4;Καπνός, προϊόντα με βάση τον καπνό και συναφή είδη;
15991000-1;Προϊόντα με βάση τον καπνό;
15991100-2;Πούρα;
15991200-3;Πουράκια;
15991300-4;Τσιγάρα;
15992000-8;Καπνός;
15992100-9;Μεταποιημένος καπνός;
15993000-5;Είδη καπνιστού;
15994000-2;Τσιγαρόχαρτο και χαρτί για φίλτρα τσιγάρων;
15994100-3;Τσιγαρόχαρτο;
15994200-4;Χαρτί για φίλτρα τσιγάρων;
16000000-5;Γεωργικά μηχανήματα;
16100000-6;Γεωργικά και δασοκομικά μηχανήματα για την προετοιμασία ή την καλλιέργεια του εδάφους;
16110000-9;’ροτρα και δισκοσβάρνες;
16120000-2;Σβάρνες, αναμοχλευτήρες, καλλιεργητικές μηχανές, μηχανικά σκαλιστήρια και τσάπες;
16130000-5;Μηχανήματα σποράς, φύτευσης και μεταφύτευσης;
16140000-8;Μηχανήματα διάστρωσης κοπριάς;
16141000-5;Μηχανήματα διάστρωσης λιπάσματος;
16150000-1;Κύλινδροι χλοοτάπητα ή αθλητικών γηπέδων;
16160000-4;Διάφορα είδη εξοπλισμού κηπουρικής;
16300000-8;Θεριστικά μηχανήματα;
16310000-1;Χορτοκοπτικές μηχανές;
16311000-8;Μηχανήματα κοπής χλοοτάπητα;
16311100-9;Χορτοκοπτικές μηχανές για χλοοτάπητες, πάρκα ή αθλητικά γήπεδα;
16320000-4;Μηχανήματα κοπής και ξήρανσης σανού;
16330000-7;Μηχανές δεματισμού αχύρου ή χορτονομής;
16331000-4;Συλλεκτικές και συμπιεστικές μηχανές αχύρου;
16340000-0;Θεριστικά και αλωνιστικά μηχανήματα;
16400000-9;Γεωργικά μηχανήματα ψεκασμού;
16500000-0;Ρυμουλκούμενα ή ημιρυμουλκούμενα οχήματα που διαθέτουν συστήματα αυτοφόρτωσης ή εκφόρτωσης για γεωργικούς σκοπούς;
16510000-3;Ρυμουλκούμενα γεωργικά οχήματα αυτοφόρτωσης;
16520000-6;Ρυμουλκούμενα γεωργικά οχήματα εκφόρτωσης;
16530000-9;Ημιρυμουλκούμενα γεωργικά οχήματα αυτοφόρτωσης;
03000000-1;Προϊόντα γεωργίας, κτηνοτροφίας, αλιείας, δασοκομίας και συναφή προϊόντα.;
03100000-2;Προϊόντα γεωργίας και κηπευτικής;
03110000-5;Φυτά και προϊόντα μεγάλης καλλιέργειας και κηπευτικά είδη;
03111000-2;Σπόροι;
03111100-3;Σπόροι σόγιας;
03111200-4;Αράπικα φιστίκια;
03111300-5;Σπόροι ηλιάνθου;
03111400-6;Βαμβακόσποροι;
03111500-7;Σπόροι από σουσάμι;
03111600-8;Σπόροι από σινάπι;
03111700-9;Σπόροι λαχανικών;
03111800-0;Σπόροι καρπών;
03111900-1;Σπόροι άνθεων;
03112000-9;Μη μεταποιημένος καπνός;
03113000-6;Φυτά που χρησιμοποιούνται για την παρασκευή ζάχαρης;
03113100-7;Ζαχαρότευτλα;
03113200-8;Ζαχαροκάλαμο;
03114000-3;Αχυρα και χορτονομές;
03114100-4;Αχυρα;
03114200-5;Χορτονομές;
03115000-0;Ακατέργαστες φυτικές ύλες;
03115100-1;Φυτικές πρώτες ύλες που χρησιμοποιούνται στην κλωστοϋφαντουργία;
03115110-4;Βαμβάκι;
03115120-7;Γιούτα;
03115130-0;Λινάρι;
03116000-7;Φυσικό καουτσούκ, λατέξ και συναφή προϊόντα;
03116100-8;Φυσικό καουτσούκ;
03116200-9;Φυσικό λατέξ;
03116300-0;Προϊόντα από λατέξ;
03117000-4;Φυτά που χρησιμοποιούνται σε ειδικούς τομείς;
03117100-5;Φυτά που χρησιμοποιούνται στην αρωματοποιία, τη φαρμακευτική ή την παραγωγή εντομοκτόνων ή για παρόμοιους σκοπούς;
03117110-8;Φυτά που χρησιμοποιούνται στην αρωματοποιία;
03117120-1;Φυτά που χρησιμοποιούνται στη φαρμακευτική;
03117130-4;Φυτά που χρησιμοποιούνται για την παραγωγή εντομοκτόνων;
03117140-7;Φυτά που χρησιμοποιούνται για την παραγωγή μυκητοκτόνων ή για παρόμοιους σκοπούς;
03117200-6;Σπόροι φυτών που χρησιμοποιούνται σε ειδικούς τομείς;
03120000-8;Προϊόντα κηπευτικής και φυτωρίου;
03121000-5;Φυτοκομικά προϊόντα;
03121100-6;Ζώντα φυτά, βολβοί, ρίζες και μοσχεύματα;
03121200-7;Κομμένα άνθη;
03121210-0;’νθινες διατάξεις;
03130000-1;Φυτά για αφεψήματα και μπαχαρικά;
03131000-8;Φυτά για αφεψήματα;
03131100-9;Κόκκοι καφέ;
03131200-0;Τσάι σε κλώνους;
03131300-1;Ματέ;
03131400-2;Κόκκοι κακάου;
03132000-5;Μη επεξεργασμένα καρυκεύματα;
03140000-4;Ζωικά και συναφή προϊόντα;
03141000-1;Σπέρμα ταύρου;
03142000-8;Ζωικά προϊόντα;
03142100-9;Φυσικό μέλι;
03142200-0;Σαλιγκάρια;
03142300-1;Βρώσιμα προϊόντα ζωικής προέλευσης;
03142400-2;Κηροί;
03142500-3;Αυγά;
03143000-5;Προϊόντα μεικτής γεωργοκτηνοτροφικής δραστηριότητας;
03144000-2;Γεωργικές προμήθειες;
03200000-3;Δημητριακά, πατάτες, λαχανικά, φρούτα και ξηροί καρποί;
03210000-6;Δημητριακά και πατάτες;
03211000-3;Δημητριακά;
03211100-4;Σιτάρι;
03211110-7;Σκληρό σιτάρι;
03211120-0;Μαλακό σιτάρι;
03211200-5;Καλαμπόκι;
03211300-6;Ρύζι;
03211400-7;Κριθάρι;
03211500-8;Σίκαλη;
03211600-9;Βρώμη;
03211700-0;Βύνη;
03211900-2;Προϊόντα δημητριακών;
03212000-0;Πατάτες και αφυδατωμένα λαχανικά;
03212100-1;Πατάτες;
03212200-2;Αφυδατωμένα οσπριώδη φυτά και όσπρια;
03212210-5;Αφυδατωμένα οσπριώδη φυτά;
03212211-2;Φακές;
03212212-9;Ρεβίθια;
03212213-6;Ξηρά μπιζέλια;
03212220-8;Όσπρια;
03220000-9;Λαχανικά, φρούτα και ξηροί καρποί;
03221000-6;Λαχανικά;
03221100-7;Βολβοειδή και κονδυλώδη λαχανικά;
03221110-0;Βολβοειδή λαχανικά;
03221111-7;Ρίζα τεύτλου;
03221112-4;Καρότα;
03221113-1;Κρεμμύδια;
03221114-8;Γογγύλια;
03221120-3;Κονδυλώδη λαχανικά;
03221200-8;Οπωροκηπευτικά;
03221210-1;Φασόλια;
03221211-8;Κουκιά;
03221212-5;Φρέσκα φασόλια;
03221213-2;Φασόλια Ισπανίας;
03221220-4;Αρακάς;
03221221-1;Μπιζέλια κήπου;
03221222-8;Νωπά μπιζέλια;
03221230-7;Πιπεριές;
03221240-0;Τομάτες;
03221250-3;Κολοκύθια;
03221260-6;Μανιτάρια;
03221270-9;Αγγούρια;
