A00;Χολέρα
A00.0;Χολέρα από δονάκιο της χολέρας [Vibrio cholerae] 01, βιότυπο  cholerae
A00.1;Χολέρα από στο δονάκιο της χολέρας [Vibrio cholerae] 01, βιότυπο eltor
A00.9;Χολέρα, μη καθορισμένη   
A01;Τυφοειδείς και παρατυφοειδείς πυρετοί
A01.0;Τυφοειδής πυρετός
A01.1;Παρατυφοειδής πυρετός A
A01.2;Παρατυφοειδής πυρετός B
A01.3;Παρατυφοειδής πυρετός C
A01.4;Παρατυφοειδής πυρετός, μη καθορισμένος   
A02;Άλλες λοιμώξεις από σαλμονέλλα 
A02.0;Εντερίτιδα από σαλμονέλλα
A02.1;Σηψαιμία από σαλμονέλλα
A02.2;Εντοπισμένες λοιμώξεις από σαλμονέλλα
A02.8;Άλλες καθορισμένες λοιμώξεις από σαλμονέλλα
A02.9;Λοίμωξη από σαλμονέλλα, μη καθορισμένη
A03;Σιγκέλλωση
A03.0;Σιγκέλλωση από σιγκέλλα της δυσεντερίας [Shigella dysenteriae]
A03.1;Σιγκέλλωση από Shigella flexneri
A03.2;Σιγκέλλωση από Shigella boydii
A03.3;Σιγκέλλωση από Shigella sonnei
A03.8;Άλλη σιγκέλλωση
A03.9;Σιγκέλλωση, μη καθορισμένη
A04;Άλλες βακτηριακές εντερικές λοιμώξεις
A04.0;Εντερίτιδα  από εντεροπαθογόνο κολοβακτηρίδιο [Escherichia coli]
A04.1;Εντερίτιδα  από εντεροτοξινογόνο  κολοβακτηρίδιο [Escherichia coli]
A04.2;Εντερίτιδα  από εντεροεισβολικό κολοβακτηρίδιο [Escherichia coli]
A04.3;Εντερίτιδα  από εντεροαιμορραγικό  κολοβακτηρίδιο [Escherichia coli]
A04.4;Άλλες εντερίτιδες  από κολοβακτηρίδια
A04.5;Εντερίτιδα  από καμπυλοβακτηρίδιο
A04.6;Εντερίτιδα από Yersinia enterecolitica
A04.7;Εντεροκολίτιδα από Clostridium difficile
A04.8;Άλλες καθορισμένες βακτηριακές εντερικές λοιμώξεις
A04.9;Βακτηριακή εντερική λοίμωξη ΜΚΑ
A05;Άλλες βακτηριακές τροφιμογενείς δηλητηριάσεις, που δεν ταξινομούνται αλλού
A05.0;Τροφιμογενής σταφυλοκοκκική δηλητηρίαση 
A05.1;Αλλαντίαση
A05.2;Τροφιμογενής δηλητηρίαση από Clostridium perfringens [Clostridium welchii]
A05.3;Τροφική δηλητηρίαση από Vibrio parahaemolyticus
A05.4;Τροφική δηλητηρίαση από Βacillus cereus
A05.8;Άλλες καθορισμένες βακτηριακές τροφικές δηλητηριάσεις
A05.9;Βακτηριακή τροφιμογενής δηλητηρίαση, μη καθορισμένη
A06;Αμοιβάδωση
A06.0;Οξεία αμοιβαδική δυσεντερία
A06.1;Χρόνια εντερική αμοιβάδωση
A06.2;Αμοιβαδική μη δυσεντερική κολίτιδα
A06.3;Αμοιβάδωμα του εντέρου
A06.4;Αμοιβαδικό ηπατικό απόστημα
A06.5+;Αμοιβαδικό πνευμονικό απόστημα (J99.8*)
A06.6+;Αμοιβαδικό εγκεφαλικό απόστημα (G07*) 
A06.7;Αμοιβάδωση του δέρματος
A06.8;Αμοιβαδική λοίμωξη άλλων εντοπίσεων
A06.9;Αμοιβάδωση, μη καθορισμένη
A07;Άλλες πρωτοζωϊκές λοιμώξεις του εντέρου
A07.0;Βαλαντιδίαση
A07.1;Τζιαρντίαση [λαμβλίαση]
A07.2;Κρυπτοσποριδίωση
A07.3;Ισοσπορίαση
A07.8;Άλλες καθορισμένες πρωτοζωϊκές εντερικές λοιμώξεις
A07.9;Πρωτοζωϊκή εντερική λοίμωξη, μη καθορισμένη
A08;Ιογενείς και άλλες καθορισμένες εντερικές λοιμώξεις
A08.0;Εντερίτιδα απο ροταϊούς
A08.1;Οξεία γαστρεντεροπάθεια από παράγοντα Norwalk
A08.2;Εντερίτιδα από αδενοϊό
A08.3;Άλλη ιογενής εντερίτιδα
A08.4;Ιογενής εντερική λοίμωξη, μη καθορισμένη
A08.5;Άλλες καθορισμένες εντερικές λοιμώξεις
A09;Διάρροια και γαστρεντερίτιδα  που θεωρείται λοιμώδους προέλευσης
A15;Φυματίωση του αναπνευστικού συστήματος, βακτηριολογικά και ιστολογικά επιβεβαιωμένη
A15.0;Φυματίωση του πνεύμονα, επιβεβαιωμένη με μικροσκοπική εξέταση πτυέλων με ή χωρίς καλλιέργεια
A15.1;Φυματίωση του πνεύμονα, επιβεβαιωμένη μόνο με καλλιέργεια 
A15.2;Φυματίωση του πνεύμονα, επιβεβαιωμένη ιστολογικά 
A15.3;Φυματίωση του πνεύμονα, επιβεβαιωμένη με μη καθορισμένα μέσα 
A15.4;Φυματίωση των ενδοθωρακικών λεμφαδένων, επιβεβαιωμένη βακτηριολογικά και ιστολογικά
A15.5;Φυματίωση του λάρυγγα, της τραχείας και των βρόγχων, επιβεβαιωμένη βακτηριολογικά και ιστολογικά
A15.6;Φυματιώδης πλευρίτιδα, επιβεβαιωμένη βακτηριολογικά και ιστολογικά
A15.7;Πρωτοπαθής φυματίωση του αναπνευστικού, επιβεβαιωμένη βακτηριολογικά και ιστολογικά
A15.8;Άλλες μορφές φυματίωσης του αναπνευστικού, επιβεβαιωμένες βακτηριολογικά και ιστολογικά 
A15.9;Φυματίωση του αναπνευστικού μη καθορισμένη, επιβεβαιωμένη βακτηριολογικά και ιστολογικά
A16;Φυματίωση του αναπνευστικού, που δεν έχει επιβεβαιωθεί βακτηριολογικά και ιστολογικά
A16.0;Φυματίωση του πνεύμονα, βακτηριολογικά και ιστολογικά αρνητική
A16.1;Φυματίωση του πνεύμονα, που δεν έχει γίνει βακτηριολογική και ιστολογική εξέταση
A16.2;Φυματίωση του πνεύμονα, χωρίς να αναφέρεται βακτηριολογική ή ιστολογική επιβεβαίωση
A16.3;Φυματίωση των ενδοθωρακικών λεμφαδένων, χωρίς να αναφέρεται βακτηριολογική ή ιστολογική επιβεβαίωση
A16.4;Φυματίωση του λάρυγγα, της τραχείας και των βρόγχων, χωρίς να αναφέρεται βακτηριολογική ή ιστολογική επιβεβαίωση
A16.5;Φυματιώδης πλευρίτιδα, χωρίς να αναφέρεται βακτηριολογική ή ιστολογική επιβεβαίωση
A16.7;Πρωτοπαθής φυματίωση του αναπνευστικού χωρίς να αναφέρεται βακτηριολογική ή ιστολογική επιβεβαίωση
A16.8;Άλλες μορφές φυματίωσης του αναπνευστικού, χωρίς να αναφέρεται βακτηριολογική ή ιστολογική επιβεβαίωση
A16.9;Φυματίωση του αναπνευστικού μη καθορισμένη, χωρίς να αναφέρεται βακτηριολογική ή ιστολογική επιβεβαίωση
A17.0+;Φυματιώδης μηνιγγίτιδα (G01*)
A17.1+;Μηνιγγικό φυμάτωμα (G07*)
A17.8+;Άλλες μορφές φυματίωσης του νευρικού συστήματος
A17.9+;Φυματίωση του νευρικού συστήματος, μη καθορισμένη (G99.8* )
A17+;Φυματίωση του νευρικού συστήματος
A18;Φυματίωση άλλων οργάνων
A18.0+;Φυματίωση των οστών και των αρθρώσεων
A18.1;Φυματίωση του ουρογεννητικού συστήματος
A18.2;Φυματιώδης περιφερική λεμφαδενοπάθεια
A18.3;Φυματίωση των εντέρων, του περιτοναίου και των μεσεντέριων αδένων
A18.4;Φυματίωση του δέρματος και του υποδόριου ιστού
A18.5;Φυματίωση του οφθαλμού
A18.6;Φυματίωση του ωτός
A18.7+;Φυματίωση των επινεφριδίων (E35.1* )
A18.8;Φυματίωση άλλων καθορισμένων οργάνων
A19;Κεχροειδής φυματίωση
A19.0;Οξεία κεχροειδής φυματίωση μονήρους καθορισμένης εντόπισης
A19.1;Οξεία κεχροειδής φυματίωση πολλαπλών εντοπίσεων
A19.2;Οξεία κεχροειδής φυματίωση, μη καθορισμένη
A19.8;Άλλη κεχροειδής φυματίωση
A19.9;Κεχροειδής φυματίωση, μη καθορισμένη
A20;Πανώλης
A20.0;Βουβωνική πανώλης
A20.1;Δερματική πανώλης
A20.2;Πνευμονική πανώλης
A20.3;Μηνιγγίτιδα από πανώλη
A20.7;Σηψαιμική πανώλης
A20.8;Άλλες μορφές πανώλους
A20.9;Πανώλης, μη καθορισμένη
A21;Τουλαραιμία
A21.0;Ελκοαδενική τουλαραιμία
A21.1;Οφθαλμοαδενική τουλαραιμία
A21.2;Πνευμονική τουλαραιμία
A21.3;Γαστρεντερική τουλαραιμία
A21.7;Γενικευμένη τουλαραιμία
A21.8;Άλλες μορφές τουλαραιμίας
A21.9;Τουλαραιμία, μη καθορισμένη
A22;Άνθρακας
A22.0;Δερματικός άνθρακας
A22.1;Πνευμονικός άνθρακας
A22.2;Γαστρεντερικός άνθρακας
A22.7;Σηψαιμία από άνθρακα
A22.8;Άλλες μορφές άνθρακα
A22.9;Άνθρακας, μη καθορισμένος
A23;Βρουκέλλωση
A23.0;Βρουκέλωση από Brucella melitensis
A23.1;Βρουκέλωση από Brucella abortus
A23.2;Βρουκέλωση  από Brucella suis
A23.3;Βρουκέλωση απόBrucella canis
A23.8;Άλλη βρουκέλλωση
A23.9;Βρουκέλλωση, μη καθορισμένη
A24;Μάλη και μελιοείδωση
A24.0;Μάλη
A24.1;Οξεία και κεραυνοβόλος μελιοείδωση
A24.2;Υποξεία και χρόνια μελιοείδωση
A24.3;Άλλη  μελιοείδωση
A24.4;Μελιοείδωση, μη καθορισμένη 
A25;Πυρετοί από δάγκωμα επίμυος
A25.0;Σπειρίλλωση
A25.1;Στρεπτοβακίλλωση
A25.9;Πυρετός από δάγκωμα επίμυος, μη καθορισμένος  
A26;Ερυσιπελοειδές
A26.0;Δερματικό ερυσιπελοειδές
A26.7;Σηψαιμία από Erysipelothrix
A26.8;Άλλες μορφές ερυσιπελοειδούς
