gr;"EDMA code";"GR code";Αγγλική Ονομασία;Συντομογραφία;Ελληνική Ονομασία;’λλη Ονομασία;Σχόλια;Ταυτίζεται με;Επείγουσα;Κατηγορία (1,2,3)
11;11;11;CLINICAL CHEMISTRY;;ΕΞΕΤΑΣΕΙΣ ΚΛΙΝΙΚΗΣ ΧΗΜΕΙΑΣ-ΒΙΟΧΗΜΕΙΑΣ;;;;;mt
11;11.01;11.01;Enzymes;;ΕΝΖΥΜΑ;;;;;s1
11;11.01.01;11.01.01;Enzymes;;ΕΝΖΥΜΑ;;;;;s2
11;11.01.01.01;11.01.01.01.001;5'-Nucleotidase;NTP;5-ΝΟΥΚΛΕΟΤΙΔΑΣΗ;;;;ΌΧΙ;2
11;11.01.01.02;11.01.01.02.001;Acid Phosphatase;ACP;ΟΞΙΝΗ ΦΩΣΦΑΤΑΣΗ;;;;ΌΧΙ;1
11;11.01.01.03;11.01.01.03.001;Alanine Amino-Transferase;ALT/SGPT;ΑΜΙΝΟΤΡΑΝΣΦΕΡΑΣΗ ΑΛΑΝΙΝΗΣ;;;;ΝΑΙ;1
11;11.01.01.04;11.01.01.04.001;Aldolase;ALS;ΑΛΔΟΛΑΣΗ;;;;ΌΧΙ;2
11;11.01.01.05;11.01.01.05.001;Alkaline Phosphatase  -  Total;ALP/AP;ΑΛΚΑΛΙΚΗ ΦΩΣΦΑΤΑΣΗ;;;;ΝΑΙ;1
11;11.01.01.06;11.01.01.06.001;Alkaline Phosphatase Isoenzymes;iso-AP;ΙΣΟΕΝΖΥΜΑ ΑΛΚΑΛΙΚΗΣ ΦΩΣΦΑΤΑΣΗΣ;;;;ΌΧΙ;2
11;11.01.01.07;11.01.01.07.001;Amylase  -  Total;AMS/AMY;α-ΑΜΥΛΑΣΗ;;;;ΝΑΙ;1
11;11.01.01.08;11.01.01.08.001;Amylase Isoenzyme;iso-AMS;ΠΑΓΚΡΕΑΤΙΚΗ ΑΜΥΛΑΣΗ;;;;ΌΧΙ;1
11;11.01.01.10;11.01.01.10.001;Aspartate Amino-Transferase;AST/SGOT;ΑΣΠΑΡΤΙΚΗ ΑΜΙΝΟΤΡΑΝΣΦΕΡΑΣΗ;;;;ΝΑΙ;1
11;11.01.01.11;11.01.01.11.001;Cholinesterase;CHE;ΨΕΥΔΟΧΟΛΙΝΕΣΤΕΡΑΣΗ;;;;ΝΑΙ;1
11;11.01.01.12;11.01.01.12.001;Chymotrypsin;;ΧΥΜΟΘΡΥΨΙΝΗ;;;;ΌΧΙ;3
11;11.01.01.13;11.01.01.13.001;Creatine Kinase  -  Total;CK;ΚΡΕΑΤΙΝΙΚΗ ΚΙΝΑΣΗ;CPK;;;ΝΑΙ;1
11;11.01.01.14;11.01.01.14.001;Creatine Kinase - MB  Activity;CK-MB;ΚΡΕΑΤΙΝΙΚΗ ΚΙΝΑΣΗ-ΜΒ (ΕΝΕΡΓΟΤΗΤΑ);CPK-MB;;;ΝΑΙ;1
11;11.01.01.15;11.01.01.15.001;Creatine Kinase  Isoenzymes;iso-CK;ΙΣΟΕΝΖΥΜΑ ΚΡΕΑΤΙΝΙΚΗΣ ΚΙΝΑΣΗΣ;;Ηλεκτροφόρηση;;ΝΑΙ;1
11;11.01.01.16;11.01.01.16.001;Gamma Glutamyltransferase;GGT;γ-ΓΛΟΥΤΑΜΥΛΟΤΡΑΝΣΦΕΡΑΣΗ;;;;ΝΑΙ;1
11;11.01.01.17;11.01.01.17.001;Glutamate Dehydrogenase;GLDH;ΓΛΟΥΤΑΜΙΝΙΚΗ ΑΦΥΔΡΟΓΟΝΑΣΗ;;;;ΌΧΙ;2
11;11.01.01.18;11.01.01.18.001;Hydroxybutyrate Dehydrogenase;HBDH;Α-ΥΔΡΟΞΥΒΟΥΤΥΡΙΚΗ ΑΦΥΔΡΟΓΟΝΑΣΗ;;;;ΌΧΙ;2
11;11.01.01.19;11.01.01.19.001;Lactate Dehydrogenase;LDH;ΓΑΛΑΚΤΙΚΗ ΑΦΥΔΡΟΓΟΝΑΣΗ;;Αναφέρεται και στην L>P και P>L;;ΝΑΙ;1
11;11.01.01.21;11.01.01.21.001;Lactate Dehydrogenase Isoenzymes;iso-LDH;ΙΣΟΕΝΖΥΜΑ ΓΑΛΑΚΤΙΚΗΣ ΑΦΥΔΡΟΓΟΝΑΣΗΣ;;Ηλεκτροφόρηση;;ΌΧΙ;2
11;11.01.01.22;11.01.01.22.001;Leucine Aminopeptidase;LAP;ΑΜΙΝΟΠΕΠΤΙΔΑΣΗ ΤΗΣ ΛΕΥΚΙΝΗΣ;;;;ΌΧΙ;3
11;11.01.01.23;11.01.01.23.001;Lipase;LPS;ΛΙΠΑΣΗ;;;;ΌΧΙ;2
11;11.01.01.24;11.01.01.24.001;Lysozyme;;ΛΥΣΟΖΥΜΗ;;;;ΌΧΙ;3
11;11.01.01.25;11.01.01.25.001;Malate Dehydrogenase;MDH;ΑΦΥΔΡΟΓΟΝΑΣΗ ΤΟΥ ΜΗΛΙΚΟΥ ΟΞΕΟΣ;;;;ΌΧΙ;3
11;11.01.01.26;11.01.01.26.001;N-acetyl-b,D-Glucosaminidase;b-NAG;Ν-ΑΚΕΤΥΛΟ-Β,D-ΓΛΥΚΟΣΑΜΙΝΙΔΑΣΗ;;;;ΌΧΙ;3
11;11.01.01.90;11.01.01.90.001;Acid-beta-glucosidase;;ΟΞΙΝΗ Β-ΓΛΥΚΟΣΙΔΑΣΗ;ΓΛΥΚΟΣΕΡΕΒΡΟΣΙΔΑΣΗ;ΛΕΥΚΟΚΥΤΤΑΡΑ Η ΙΝΟΒΛΑΣΤΕΣ ΔΕΡΜΑΤΟΣ, ΝΟΣΟΣ GAUCHER;;ΌΧΙ;3
11;11.01.01.90;11.01.01.90.002;Acid Sphingomyelinase;;ΟΞΙΝΗ ΣΦΥΓΓΟΜΥΕΛΙΝΑΣΗ;;ΝΟΣΟΣ GAUCHER;;;3
11;11.01.01.90;11.01.01.90.003;Chitotriosidase;;ΧΙΤΟΤΡΙΟΣΙΔΑΣΗ;;ΝΟΣΟΣ GAUCHER;;;3
11;11.02;11.02;Substrates;;ΥΠΟΣΤΡΩΜΑΤΑ;;;;;s1
11;11.02.01;11.02.01;Substrates;;ΥΠΟΣΤΡΩΜΑΤΑ;;;;;s2
11;11.02.01.01;11.02.01.01.001;Albumin;;ΑΛΒΟΥΜΙΝΗ;;;;ΝΑΙ;1
11;11.02.01.02;11.02.01.02.001;Bile acids;;ΧΟΛΙΚΑ ΑΛΑΤΑ;;;;ΌΧΙ;3
11;11.02.01.03;11.02.01.03.001;Bilirubin Total;TBIL;ΟΛΙΚΗ ΧΟΛΕΡΥΘΡΙΝΗ;;;;ΝΑΙ;1
11;11.02.01.03;11.02.01.03.002;Bilirubin Direct;DBIL;ΑΜΕΣΗ ΧΟΛΕΡΥΘΡΙΝΗ;;;;ΝΑΙ;1
11;11.02.01.04;11.02.01.04.001;Urea/Blood Urea Nitrogen;UREA;ΟΥΡΙΑ;ΠΑΛΑΙΟΤΕΡΗ ΟΝΟΜΑΣΙΑ: BUN;;;ΝΑΙ;1
11;11.02.01.05;11.02.01.05.001;Cholesterol;CHOL;ΧΟΛΗΣΤΕΡΟΛΗ;;;;ΌΧΙ;1
11;11.02.01.06;11.02.01.06.001;Copper;Cu;ΧΑΛΚΟΣ;;;;ΌΧΙ;2
11;11.02.01.07;11.02.01.07.001;Creatinine;CREAT;ΚΡΕΑΤΙΝΙΝΗ;;;;ΝΑΙ;1
11;11.02.01.08;11.02.01.08.001;D-Xylose;;D-ΞΥΛΟΖΗ;;;;ΌΧΙ;3
11;11.02.01.10;11.02.01.10.001;Fructosamine;;ΦΡΟΥΚΤΟΖΑΜΙΝΗ;;;;ΌΧΙ;2
11;11.02.01.11;11.02.01.11.001;Fructose;;ΦΡΟΥΚΤΟΖΗ;;;;ΌΧΙ;2
11;11.02.01.12;11.02.01.12.001;Galactose;;ΓΑΛΑΚΤΟΖΗ;;;;ΌΧΙ;2
11;11.02.01.13;11.02.01.13.001;Glucose;GLU;ΓΛΥΚΟΖΗ;ΣΑΚΧΑΡΟ;;;ΝΑΙ;1
11;11.02.01.14;11.02.01.14.001;Glycosylated/Glycated Haemoglobin;HbA1c;ΓΛΥΚΟΖΥΛΙΩΜΕΝΗ ΑΙΜΟΣΦΑΙΡΙΝΗ;ΓΛΥΚΙΩΜΕΝΗ ΑΙΜΟΣΦΑΙΡΙΝΗ;Μέθοδος: αναλυτές, HPLC;;ΌΧΙ;1
11;11.02.01.15;11.02.01.15.001;High Density Lipoprotein Cholesterol;HDL-C;HDL-ΧΟΛΗΣΤΕΡΟΛΗ;ΛΙΠΟΠΡΩΤΕΙΝΗ ΥΨΗΛΗΣ ΠΥΚΝΟΤΗΤΑΣ ;;;ΌΧΙ;1
11;11.02.01.16;11.02.01.16.001;Iron;Fe;ΣΙΔΗΡΟΣ;;Μπορεί να θεωρηθεί επείγον μόνο σε παιδιατρικές κλινικές που αντιμετωπίζουν περιπτώσεις δηλητηρίασης με σίδηρο;;ΌΧΙ;1
11;11.02.01.17;11.02.01.17.001;Iron Binding Capacity  - Total;TIBC;ΟΛΙΚΗ ΣΙΔΗΡΟΔΕΣΜΕΥΤΙΚΗ ΙΚΑΝΟΤΗΤΑ;;;;ΌΧΙ;1
11;11.02.01.18;11.02.01.18.001;Lactate;;ΓΑΛΑΚΤΚΟ ΟΞΥ;;;;ΌΧΙ;2
11;11.02.01.19;11.02.01.19.001;Lecithin;;ΛΕΚΙΘΙΝΗ;;"Χρειαζεται;";;ΌΧΙ;3
11;11.02.01.21;11.02.01.21.001;Low Density Lipoprotein Cholesterol including sd-LDL;LDL-C;LDL-ΧΟΛΗΣΤΕΡΟΛΗ;ΛΙΠΟΠΡΩΤΕΙΝΗ ΧΑΜΗΛΗΣ ΠΥΚΝΟΤΗΤΑΣ ;;;ΌΧΙ;2
11;11.02.01.22;11.02.01.22.001;Non Esterified Fatty Acids;NEFA;ΜΗ ΕΣΤΕΡΟΠΟΙΗΜΕΝΑ ΛΙΠΑΡΑ ΟΞΕΑ;;;;ΌΧΙ;3
11;11.02.01.23;11.02.01.23.001;Oxalate;;ΟΞΑΛΙΚΟ ΟΞΥ;;;;ΌΧΙ;3
11;11.02.01.24;11.02.01.24.001;Phospholipids;;ΦΩΣΦΟΛΙΠΙΔΙΑ;;;;ΌΧΙ;3
11;11.02.01.25;11.02.01.25.001;Porphobilinogen;;ΠΟΡΦΟΧΟΛΕΡΥΘΡΙΝΟΓΟΝΟ;;;;ΌΧΙ;3
11;11.02.01.26;11.02.01.26.001;Pyruvate;;ΠΥΡΟΣΤΑΦΥΛΙΚΟ ΟΞΥ;;;;ΌΧΙ;3
11;11.02.01.27;11.02.01.27.001;Thymol;;ΘΥΜΟΛΗ;;;;ΌΧΙ;3
11;11.02.01.28;11.02.01.28.001;Total Lipids;;ΟΛΙΚΑ ΛΙΠΙΔΙΑ;;;;ΌΧΙ;3
11;11.02.01.29;11.02.01.29.001;Total Porphyrine;;ΟΛΙΚΕΣ ΠΟΡΦΥΡΙΝΕΣ;;;;ΌΧΙ;2
11;11.02.01.30;11.02.01.30.001;Total Protein;;ΟΛΙΚΑ ΛΕΥΚΩΜΑΤΑ;;;;ΝΑΙ;1
11;11.02.01.31;11.02.01.31.001;Triglycerides;;ΤΡΙΓΛΥΚΕΡΙΔΙΑ;;;;ΌΧΙ;1
11;11.02.01.32;11.02.01.32.001;Uric Acid;;ΟΥΡΙΚΟ ΟΞΥ;;;;ΝΑΙ;1
11;11.02.01.33;11.02.01.33.001;Zinc;;ΨΕΥΔΑΡΓΥΡΟΣ;;;;ΌΧΙ;2
11;11.02.01.34;11.02.01.34.001;Lipoprotein Electroporesis;;ΗΛΕΚΤΡΟΦΟΡΗΣΗ ΛΙΠΟΠΡΩΤΕΙΝΩΝ;;;;ΌΧΙ;2
11;11.02.01.35;11.02.01.35.001;Protein Electroporesis;;ΗΛΕΚΤΡΟΦΟΡΗΣΗ ΛΕΥΚΩΜΑΤΩΝ;;;;ΌΧΙ;1
11;11.03;11.03;Electrolytes Reagents (excluding Electrodes);;ΗΛΕΚΤΡΟΛΥΤΕΣ (ΧΩΡΙΣ ΗΛΕΚΤΡΟΔΙΑ);;;;;s1
11;11.03.01;11.03.01;Electrolytes Reagents (excluding Electrodes);;ΗΛΕΚΤΡΟΛΥΤΕΣ (ΧΩΡΙΣ ΗΛΕΚΤΡΟΔΙΑ);;;;;s2
11;11.03.01.01;11.03.01.01.001;Ammonia;NH3;ΑΜΜΩΝΙΑ;;;;ΝΑΙ;1
11;11.03.01.03;11.03.01.03.001;Calcium;Ca;ΑΣΒΕΣΤΙΟ;;;;ΝΑΙ;1
11;11.03.01.07;11.03.01.07.001;Magnesium;Mg;ΜΑΓΝΗΣΙΟ;;;;ΝΑΙ;1
11;11.03.01.08;11.03.01.08.001;Phosphate inorganic / Phosphorus;P;ΑΝΟΡΓΑΝΟΣ ΦΩΣΦΟΡΟΣ;;;;;1
11;11.04;11.04;Electrodes  and  Biosensors - Laboratory;;ΕΞΕΤΑΣΕΙΣ ΠΟΥ ΔΙΕΝΕΡΓΟΥΝΤΑΙ ΜΕ ΗΛΕΚΤΡΟΔΙΑ Η ΒΙΟΑΙΣΘΗΤΗΡΕΣ;;;;;s1
